""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-136-3p"	539.523583012532	2.58691318819653e+162	540.196202695509	44.0110891518853	1.05093216986297e-09	3.76665875834066e-09
"hsa-miR-630"	427.540707541962	5.04170391881458e+128	434.899736498938	43.9381264966561	1.06298430782424e-09	3.79213471674971e-09
"hsa-miR-921"	5574.56742612449	Inf	5492.23018810039	43.8967824487355	1.06988379814179e-09	3.79907811654977e-09
"hsa-miR-365a-3p"	678.918085304197	2.36978133926001e+204	702.580562083605	43.8541237263162	1.07705646461774e-09	3.80001815990537e-09
"hsa-miR-550a-3p"	161.197633970435	3.35214699917227e+48	158.295255829464	43.8363728566136	1.08005731272408e-09	3.80001815990537e-09
"hsa-miR-221-5p"	262.117864914955	8.04154948516837e+78	262.12538648443	43.58221007671	1.12409130160145e-09	3.93688597410189e-09
"ebv-miR-BART12"	109.021552062601	6.58805694913207e+32	109.66791139378	43.5228573182237	1.13466799433935e-09	3.94883165425985e-09
"hsa-miR-196a-3p"	282.80442072018	1.35710528928373e+85	283.539502900349	43.4840486638021	1.14164530353457e-09	3.94883165425985e-09
"hsa-miR-29c-5p"	399.71128868566	2.11391489992455e+120	397.071058398782	43.476836509034	1.14294736277143e-09	3.94883165425985e-09
"hsa-miR-125a-3p"	145.652192031354	7.00936596799484e+43	145.898139706531	43.3458189021589	1.16689931805176e-09	4.0135057262139e-09
"hsa-miR-92b-3p"	358.933513066744	1.12138277837233e+108	363.731916245938	43.1709567896344	1.19976719344002e-09	4.10813141682365e-09
"hsa-miR-629-3p"	170.572241324276	2.22515908739759e+51	172.389814692808	43.1212214729099	1.20930834490471e-09	4.12239778018627e-09
"hsa-miR-421"	214.587935777403	3.95735833152886e+64	212.380918685454	42.9116630304185	1.25047527012455e-09	4.23827529509404e-09
"hsa-miR-142-3p"	451.256003582649	6.94372962331853e+135	461.711810376022	42.8923332565763	1.25435266230293e-09	4.23827529509404e-09
"hsa-miR-106b-3p"	137.477185421958	2.42525010169497e+41	137.707630815627	42.8371228604601	1.26550341458744e-09	4.25719789030075e-09
"hsa-miR-342-5p"	191.991013636785	6.23812398982356e+57	192.157926403827	42.7124192452219	1.29110969478529e-09	4.31529679531703e-09
"hsa-miR-647"	176.317320769101	1.19344471776931e+53	178.86475724961	42.6983944909447	1.29402641841319e-09	4.31529679531703e-09
"hsa-miR-18a-5p"	214.204412804222	3.03356606648468e+64	216.734962030386	42.6090573747643	1.31278384118499e-09	4.35473548374091e-09
"hsa-miR-891a-5p"	373.779702158012	3.30295091653011e+112	387.087679176102	42.5718209121229	1.32069384086507e-09	4.35473548374091e-09
"hsa-miR-181d-5p"	171.729216972316	4.96187067291992e+51	172.366702140101	42.5615476292486	1.32288574669053e-09	4.35473548374091e-09
"hsa-miR-376c-3p"	804.413945502667	1.42143343499842e+242	806.149985002592	42.5156228775969	1.33273529169096e-09	4.36356785846494e-09
"hsa-miR-551b-3p"	4450.5857643397	Inf	4573.00848362957	42.4961030928672	1.33694712743059e-09	4.36356785846494e-09
"hsa-miR-15b-5p"	634.031309340262	7.28521379907406e+190	635.533652216433	42.3519778589036	1.36852126440695e-09	4.44769410932257e-09
"hiv1-miR-N367"	88.0338974696867	3.1684274966461e+26	87.4249042261022	42.1476793176825	1.41475139699314e-09	4.55799283090389e-09
"hsa-miR-875-5p"	76.4309474987563	1.01860966855301e+23	76.6339352371065	42.1252301621979	1.41993948628491e-09	4.55799283090389e-09
"hsa-miR-552-3p"	131.109270658787	2.93645383758586e+39	132.718192421311	42.1237289197464	1.42028720545767e-09	4.55799283090389e-09
"hsa-miR-502-5p"	115.823051763385	7.3487381031718e+34	113.810359010097	42.0949123406748	1.42698065514478e-09	4.56039234373352e-09
"hsa-miR-21-5p"	733.948717787144	8.7212619898461e+220	730.404281378933	42.0469830488736	1.43819368938905e-09	4.57715584963236e-09
"hsa-miR-888-5p"	103.378916751371	1.31872688844484e+31	104.103954313637	41.8732381021478	1.47969513844828e-09	4.68977756690012e-09
"hsa-miR-423-5p"	1420.43438052659	Inf	1408.76415882841	41.7832411801265	1.50173010509732e-09	4.74002876794093e-09
