Row.names	Apap_The_002_1	Apap_The_002_2	Apap_The_002_3	Apap_The_024_1	Apap_The_024_2	Apap_The_024_3	Apap_Tox_002_2	Apap_Tox_002_3	Apap_Tox_024_1	Apap_Tox_024_2	Con_DMSO_002_1	Con_DMSO_002_2	Con_DMSO_002_3	Con_DMSO_024_1	Con_DMSO_024_2	Con_DMSO_024_3
ENSG00000145103	160	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145107	499	362	107.07	122	54.18	16.89	289	128	424	0	19	0	0	0	0	515
ENSG00000145113	0	0	0	0	37	0	57	0	0	0	0	0	1	0	0	0
ENSG00000145147	0	7	186	11	24	1	0	0	218	50	0	1203	0	0	2	1
ENSG00000145191	511	468	71	277	287	118	362	39	434	219	1	429	12	3	746	0
ENSG00000145192	29393	49586	28077	64156	57458	35795	25396	18280	20728	30806	13336	74555	80129	47520	50203	57110
ENSG00000145194	361	1152	459	872	735	423.89	508	421	89	288	269	485	2	4	714	637
ENSG00000145198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145214	722	330	497	601	879	261	535	243	257	196	65	571	907	273	1347	688
ENSG00000145216	657.33	679.95	215	496.39	460.44	502.56	901	229	291.69	397.04	324	559.43	1840	549	1276	1108.25
ENSG00000145217	435	1538	797	1890.85	1384	1122	949	110.48	466	572	404	2910	1072	417	561	940
ENSG00000145220	50	149	80	127	138	54	170	117	329	201	279	43	720	556	0	1
ENSG00000145241	53	330	65	127	193	40	222	214	179	365	345	220	0	519	153	44
ENSG00000145242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145244	1	100	1	4	1	56	196	173	69	36	62	1325	1	0	1	0
ENSG00000145246	38	656	123	176	305.21	61.5	340	266	170	337.15	794	676	0	108	7	378
ENSG00000145247	1725	3155	1258	1268	1130	1020	1719	1623	542	1205	1238	1643	4	2062	972	1397
ENSG00000145248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145284	148.18	0	0	27	0.39	39	2	92.1	0	32.26	0.22	0	1	0	0	0
ENSG00000145287	40	85	1.34	0	0	0	0	76.94	0.89	0	0	0	0	0	0	0
ENSG00000145293	149	316	256	197	86	59	160	69	403	216	172	1015	0	863	488	509
ENSG00000145309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145321	29785	50839	28686	31174	35467	21588	32567	30287	33231	36895	25944	32606	94793	56690	70970	77224
ENSG00000145331	58	97	86	27	0	82	68	1	78	61	39	0	0	109	334	466
ENSG00000145332	28	87	31	103	65	33	17	83	74	60.99	247	0	617	170	843	106
ENSG00000145335	0	0	0	0	0	69	0	0	91	0	10	396	0	411	0	0
ENSG00000145337	0	0	19.06	0	0	639	0	275.13	0	0	0	893	0	0	0	0
ENSG00000145348	188.88	622.73	151.6	263.75	464.29	172	420.08	433.23	393	557	1100.27	370	2	1045.02	1962	266
ENSG00000145349	792	2070	1199	1393	1445	768	1649	1008	902	1320	1936	1964	670	2532	2278	1333
ENSG00000145354	215	972	211	502	890	472	1167	1375	1042	1282	1406	1087	533	2895	2476	2435
ENSG00000145358	0	20	0	0	0	0	0	0	0	92	0	1	0	0	0	1
ENSG00000145362	0	0	22	2	0	0	105	344	198	0	267	518	1	3	3	592
ENSG00000145365	83	265	96	236	175	65	72	83	106	120	55	589	1	372	434	327
ENSG00000145375	133	164.01	150	31	23	31	106	198	26	108	635.02	49	0	94	135	35
ENSG00000145384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145386	157	115	184	167	61	70	133	187	83	93	255	147	1	447	9	596
ENSG00000145388	61	134	86	110	58	0	121	44	6	338	59	44	0	386	416	6
ENSG00000145390	234	268	79	70	175	56	106	216	176	99	177	317	1226	216	1008	1055
ENSG00000145391	2325	3234	1585	2365	3264	1217	3306	2313	2050	2430	2641	2492	3153	2386	5531	7230
ENSG00000145414	0	0	0	0	25	0	0	0	0	0	110	1	2	0	51	0
ENSG00000145416	0	15	0	32	43	54	0	159	149	56	0	0	0	3	0	22
ENSG00000145423	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145425	1400.69	2559	1128.69	1354	1093	1043.24	1765.99	1646.07	1341.38	1055	1115.18	1300	1860	2082	1610	2967
ENSG00000145428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145431	36	118	133	214	144	110	149	178	52	27	97	186	0	279	88	0
ENSG00000145439	119	78	98	188	249	190	102	118	304	272	50	124	419	543	148	1
ENSG00000145451	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145476	1465.03	2696.4	978.41	2163.27	2505	892.34	1896	1916.58	1513	2230	4104	2364.1	3470.02	5195.18	5710.7	4768
ENSG00000145491	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145494	21	220	82	123	29	62	1	117	2	1	0	0	0	0	1	0
ENSG00000145495	459	760.17	398	659	631	274	626.01	254	522.2	817.02	727.02	432	1	1115	1110	2243.38
ENSG00000145506	0	102	9	19	95	93	62	81	0	0	1	0	0	0	0	0
ENSG00000145526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145545	337	836.99	398	583.02	512	383.72	434	335	581	569	501	273.63	369	251	644.04	545
ENSG00000145555	19	142	1.21	173	78	98	51	94	0	59	0	0	0	289	0	0
ENSG00000145569	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0
ENSG00000145592	7869	12571	5108	9329	6866	5907	5138.7	4407	2255	3641	4486	7585	1121	5689	6488	5137
ENSG00000145604	595	728.22	331.01	653	547.01	474.31	576	452.91	220	226	718	372.09	12	144	1284	324
ENSG00000145623	854.02	938	420	1040	1455.77	765.44	786	1223.01	900	1261	3065	3033	1135	2294	2195	2330
