""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-590-5p"	-25.6591493867535	-52987524.2869126	-16.3713229686399	-2.5150416236047	0.041259010696403	0.130029306008357
"hsa-miR-532-3p"	-29.1335595744506	-588945777.441861	-21.1790368773649	-2.51294962670774	0.0413832436037794	0.130029306008357
"kshv-miR-K12-10b"	175.884937475493	8.84386217100383e+52	191.712585646044	2.50972274962521	0.0415756328640939	0.130029306008357
"hsa-miR-515-3p"	13.2410185719088	9681.52482259406	14.1028057330864	2.50912260817127	0.041611516049652	0.130029306008357
"hsa-miR-668-3p"	-83.743563636227	-1.61928986733432e+25	-73.4275848417433	-2.50757305148974	0.0417043145737364	0.130029306008357
"hsa-miR-502-3p"	-18.2335104760013	-308200.670730948	-17.8315948773278	-2.49921964492713	0.0422082869462613	0.131067838412075
"hsa-miR-371a-5p"	-3480.44162970992	-Inf	-3227.11831305007	-2.48563208714591	0.0430415713057906	0.132563203362675
"hsa-miR-363-5p"	90.1755345084127	1.39810813296914e+27	92.5655803309484	2.48296747919157	0.0432069728080807	0.132563203362675
"hsa-miR-149-5p"	-220.859158589013	-3.05655033706525e+66	-218.576184955105	-2.48131652030864	0.0433097837116293	0.132563203362675
"hsa-miR-21-3p"	-39.6706780058529	-875112783703.079	-27.0796197940417	-2.48017243086314	0.0433811786753994	0.132563203362675
"hsa-miR-191-3p"	13.4684443902877	11334.5884643924	11.0982249611882	2.45873618114939	0.0447416291809746	0.136070777120451
"hsa-miR-298"	-245.547607916385	-8.26409586376791e+73	-216.224075514571	-2.45653440401992	0.0448838417359506	0.136070777120451
"hsa-miR-367-3p"	14.9720779392161	32139.902660941	15.4205222492742	2.44779646604788	0.0454528459584282	0.136695462475829
"hsa-miR-140-5p"	-68.2203768024976	-3.43858475226273e+20	-55.1842360534454	-2.44759232911098	0.0454662278538706	0.136695462475829
"hsa-miR-520a-3p"	14.5892743904978	24649.5619910936	20.4193537197686	2.44518170103513	0.0456245611392596	0.136695462475829
"hsa-let-7g"	-59.0247053772624	-586417340190994304	-61.3050313159258	-2.44012584505458	0.0459584887820147	0.137160159127647
"hcmv-miR-US25-1-5p"	15.3234352402255	41002.8121867595	14.9857759364992	2.43232401962082	0.0464787402502984	0.138175169658833
"hsa-miR-18a-3p"	-18.4937874381289	-369134.597953466	-17.6566367490082	-2.42720156549603	0.0468236239229528	0.138663009841331
"hsa-miR-632"	15.5326288078743	47400.9649401092	17.283421385574	2.42205967514337	0.0471724714395857	0.139158790746778
"hsa-miR-33b-5p"	12.7034886360159	6670.08132393738	11.7859386431545	2.41055517902109	0.0479627223139325	0.1409479234283
"hsa-miR-516a-5p"	-98.9680478528243	-6.19941937132653e+29	-103.93679294427	-2.39494255837882	0.0490570297017829	0.14330803436128
"hsa-miR-579-3p"	-47.3429537738246	-178504500141349	-45.5428793529355	-2.39196997357624	0.0492682771144084	0.14330803436128
"hsa-miR-625-5p"	-136.649932594232	-1.36687442070957e+41	-132.895761267502	-2.39115489967199	0.0493263638479502	0.14330803436128
"hsa-miR-15a-3p"	76.67179920699	1.20368093777605e+23	93.8364202389417	2.38062443787813	0.0500831880095139	0.144943030749403
"hsa-miR-509-3-5p"	-39.3256180242351	-688954630372.465	-26.0222946435798	-2.37491295444218	0.0504986548919238	0.144943030749403
"hsa-miR-517b-3p"	13.6854244809585	13174.1702690136	16.2634404942181	2.37364073484903	0.0505916804418866	0.144943030749403
"hsa-miR-107"	-443.409757165508	-3.01743050730581e+133	-452.270359319961	-2.37291231152249	0.050645022478279	0.144943030749403
"ebv-miR-BART13-5p"	28.8757433336679	492566521.408171	34.6646668666484	2.37029531770645	0.050837140552378	0.144951995552691
"hsa-miR-654-5p"	-19.8643417278796	-954470.926574276	-19.1115733248321	-2.33656601070435	0.0533812792297977	0.151230529035036
"hsa-miR-651-5p"	11.9788287100036	4036.33082541201	14.6487746116474	2.33589142734186	0.0534334724491457	0.151230529035036
"hsa-miR-498-5p"	-112.040130935372	-5.33875670249978e+33	-102.34193131342	-2.32192936462455	0.0545255429519869	0.153608361073152
"hsa-miR-30d-5p"	-447.062957240692	-3.7962961080026e+134	-280.552340897732	-2.31707443764685	0.0549106102245277	0.153608361073152
"hsa-miR-127-3p"	-116.505246496139	-1.17916301142949e+35	-107.074102761646	-2.31281964955304	0.0552503638760079	0.153608361073152
"hsa-miR-548d-5p"	-28.8480554659827	-483203433.775366	-34.9491655610109	-2.31266283324524	0.0552629269704637	0.153608361073152
"hsa-miR-510-5p"	-102.897770615757	-9.44746827679255e+30	-105.821279018866	-2.31251245056959	0.0552749773874706	0.153608361073152
"hsa-miR-296-5p"	75.6312313362077	5.85152737611759e+22	69.3080411838395	2.30816618388598	0.0556244140424129	0.154021391951374
"hsa-miR-331-3p"	-259.745961533748	-1.55355157016306e+78	-296.908316705581	-2.29554005183338	0.0566524026228057	0.156283964699498
