64851	75313	42	63
64852	75314	4	26
64852	75315	43	63
64853	75316	21	40
64854	75317	47	66
64855	75318	12	31
64856	75319	18	37
64857	75320	7	26
64858	75321	21	40
64859	75322	4	24
64860	75323	19	39
64861	75324	24	44
64862	75325	24	43
64863	75326	63	82
64864	75327	163	183
64865	75328	4	24
64866	75329	5	25
64867	75330	5	25
64868	75331	38	58
64868	75332	47	67
64869	75333	89	109
64870	75334	79	99
64871	75335	294	317
64872	75336	19	39
64873	75337	3	23
64874	75338	86	106
64875	75339	137	157
64876	75340	134	154
64877	75341	96	116
64878	75342	103	123
64879	75343	87	107
64880	75344	119	139
64881	75345	78	98
64882	75346	85	105
64883	75347	19	39
64884	75348	10	30
64885	75349	18	38
64886	75350	19	39
64887	75351	18	38
64888	75352	59	79
64889	75353	88	108
64890	75354	78	98
64891	75355	5	24
64891	75356	71	91
64892	75357	9	30
64892	98429	75	95
64893	75358	168	188
64894	75359	5	27
64894	75360	45	66
64895	75361	6	26
64895	75362	49	70
64896	75363	7	29
64896	75364	51	72
64897	75365	7	31
64897	75366	50	70
64898	75367	6	27
64898	75368	45	66
64899	75369	45	66
64899	96295	6	27
64900	75370	7	28
64900	75371	41	61
64901	75372	7	28
64901	75373	46	67
64902	75374	3	24
64902	75375	40	61
64903	75376	6	26
64903	75377	45	65
64904	75378	6	28
64904	75379	44	65
64905	75380	6	27
64905	75381	42	63
64906	75382	7	29
64906	75383	49	70
64907	75384	24	44
64907	75385	67	88
64908	75386	7	28
64908	75387	41	62
64909	75388	7	28
64909	75389	42	63
64910	75390	21	41
64910	75391	59	80
64911	75392	7	28
64912	75393	48	69
64912	96296	9	31
64913	75394	6	27
64914	75395	6	28
64914	75396	46	67
64915	75397	6	28
64915	75398	47	68
64916	75399	9	30
64916	75400	45	66
64917	75401	6	27
64917	75402	41	63
64918	75403	9	29
64918	75404	45	66
64919	75405	10	31
64919	75406	48	69
64920	75407	6	27
64920	75408	45	65
64921	75409	7	28
64921	75410	43	64
64922	75411	8	30
64922	75412	46	67
64923	75413	52	74
64924	75414	44	65
64925	75415	5	25
64925	75416	49	70
64926	75417	6	27
64926	75418	44	65
64927	75419	7	29
64927	75420	47	68
64928	75421	6	27
64928	75422	46	67
64929	75423	6	27
64929	75424	41	62
64930	75425	6	26
64930	75426	40	60
64931	75427	17	38
64931	75428	59	80
64932	75429	7	29
64932	75430	43	65
64933	75431	47	66
64934	75432	24	47
64934	75433	66	87
64935	75432	32	55
64935	75435	72	93
64936	75432	31	54
64937	75437	22	44
64937	75438	63	84
64938	75439	27	49
64938	75440	66	87
64939	75441	22	43
64939	75442	64	85
64940	75443	39	61
64940	75444	77	98
64941	75445	36	58
64941	96298	76	96
64942	75446	27	48
64942	75447	65	86
64943	75448	23	46
64943	75449	67	87
64944	75450	27	48
64944	75451	66	87
64945	75452	35	56
64945	75453	71	92
64946	75392	25	46
64946	75455	62	83
64947	75397	31	53
64947	75398	70	91
64948	75458	26	48
64948	75459	65	86
64949	75460	65	86
64950	75461	33	54
64950	96300	72	92
64951	75462	34	55
64951	75463	71	91
64952	75464	66	87
64953	75465	26	47
64953	96301	63	83
64954	75466	71	91
64954	96302	31	53
64955	75443	24	46
64955	75468	64	85
64956	75469	30	51
64956	75470	71	92
64957	75471	27	47
64958	75472	19	40
64958	98430	58	79
64959	75473	35	57
64960	75474	25	45
64960	75475	68	89
64961	75474	25	45
64961	75477	67	88
64962	75478	21	41
64962	75479	62	83
64963	75480	25	46
64963	75481	65	87
64964	75482	31	52
64964	75483	69	89
64965	75484	26	47
64965	75485	68	89
64966	75486	7	31
64966	75487	53	75
64967	75488	18	40
64967	75489	61	81
64968	75490	16	38
64968	93856	58	79
64969	75491	8	33
64969	75492	88	109
64970	75493	17	39
64970	75494	61	83
64971	75495	61	84
64971	93857	18	39
64972	75496	61	83
64972	93858	19	41
64973	75497	61	83
64973	93859	19	41
64974	75498	61	81
64974	93860	16	37
64975	75499	61	82
64975	93861	19	41
64976	75500	61	83
64976	93862	19	42
64977	75501	16	38
64977	93863	53	74
64978	75502	16	39
64978	75503	61	83
64979	75504	16	38
64979	93864	59	80
64980	75505	16	37
64980	75506	58	79
64981	75507	22	44
64981	75508	61	82
64982	75509	16	36
64982	93865	60	81
64983	75510	16	36
64984	75511	20	38
64984	75512	61	83
64985	75513	16	39
64985	75514	58	78
64986	75515	61	82
64986	93866	20	42
64987	75516	61	81
64987	93867	19	41
64988	75517	21	42
64988	75518	61	82
64989	75519	60	83
64990	75520	61	83
64990	93868	17	40
64991	75521	60	79
64991	93869	18	39
64992	75522	19	40
64993	75523	21	43
64993	93870	60	78
64994	75524	21	42
64994	75525	64	85
64995	75526	59	75
64996	75527	62	83
64996	93871	25	46
64997	75528	66	86
65000	75531	19	42
65000	93872	57	80
65002	75533	66	84
65004	75535	21	42
65004	75536	57	78
65005	75537	18	41
65005	93873	59	80
65006	75538	60	79
65007	75539	60	79
65008	75540	23	42
65009	75541	16	35
65010	75542	18	41
65011	75543	13	32
65012	75544	64	83
65013	75545	24	43
65014	75546	67	84
65015	75547	59	78
65016	75548	22	42
65016	75549	61	82
65017	75550	20	42
65017	93874	64	86
65018	75551	59	81
65018	93875	20	42
65019	75552	55	76
65019	93876	17	38
65020	75553	19	39
65020	93877	59	80
65021	75554	16	38
65021	75555	54	75
65022	75556	59	81
65022	93878	18	38
65023	75557	57	78
65023	93879	18	40
65024	75558	57	78
65024	93880	19	41
65025	75559	67	88
65025	93881	22	47
65026	75560	26	46
65026	93882	65	86
65027	75561	10	36
65028	75562	14	36
65028	75563	58	80
65029	75564	17	40
65029	93883	60	81
65030	75565	21	42
65030	93884	68	88
65031	75566	68	88
65031	93885	10	35
65032	75567	15	36
65032	75563	60	82
65033	75569	17	40
65033	93887	68	90
65034	75570	57	79
65034	93888	23	45
65035	75571	60	81
65035	93889	19	41
65036	75573	62	83
