miRTarBase_ID	miRNA	Species_miRNA	Target_Gene	Target_Gene_Entrez_ID	Species_Target_Gene	Experiments	Support_Type	References_PMID
MIRT002200	rno-miR-124-3p	Rattus_norvegicus	Lamc1	117036	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002201	rno-miR-290	Rattus_norvegicus	Klf15	85497	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002203	rno-miR-292-5p	Rattus_norvegicus	Kcnj16	29719	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002204	rno-miR-218a-5p	Rattus_norvegicus	Kcnj16	29719	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002205	rno-let-7f-5p	Rattus_norvegicus	Kcnj16	29719	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002206	rno-let-7e-5p	Rattus_norvegicus	Kcnj16	29719	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002207	rno-miR-21-5p	Rattus_norvegicus	Kcnj16	29719	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002208	rno-miR-124-3p	Rattus_norvegicus	Itgb1	24511	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002209	rno-miR-292-5p	Rattus_norvegicus	Hyou1	192235	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002210	rno-miR-215	Rattus_norvegicus	Hyou1	192235	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002211	rno-miR-27a-3p	Rattus_norvegicus	Hyou1	192235	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002212	rno-let-7e-5p	Rattus_norvegicus	Hmox1	24451	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002213	rno-let-7d-5p	Rattus_norvegicus	Hmox1	24451	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002214	rno-let-7a-5p	Rattus_norvegicus	Hmox1	24451	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002215	rno-miR-494-3p	Rattus_norvegicus	Hmox1	24451	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002216	rno-miR-214-3p	Rattus_norvegicus	Gpd1	60666	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002217	rno-miR-290	Rattus_norvegicus	Golph3	78961	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002218	rno-miR-290	Rattus_norvegicus	Gnb1	24400	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002219	rno-miR-290	Rattus_norvegicus	Gmfb	81661	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002220	rno-miR-23a-3p	Rattus_norvegicus	Gad1	24379	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002221	rno-miR-214-3p	Rattus_norvegicus	Fgfr1	79114	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002222	rno-miR-331-3p	Rattus_norvegicus	Fgf16	60464	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002223	rno-miR-320-3p	Rattus_norvegicus	Fgf16	60464	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002224	rno-miR-214-3p	Rattus_norvegicus	Fgf16	60464	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002225	rno-miR-99a-5p	Rattus_norvegicus	Fgf16	60464	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002226	rno-miR-494-3p	Rattus_norvegicus	Fgf16	60464	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002227	rno-miR-9a-5p	Rattus_norvegicus	Fgf16	60464	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002229	rno-miR-7a-5p	Rattus_norvegicus	Dhcr24	298298	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002236	rno-let-7e-5p	Rattus_norvegicus	Capn8	170808	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002237	rno-miR-382-5p	Rattus_norvegicus	Capn8	170808	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002238	rno-miR-301a-3p	Rattus_norvegicus	Capn8	170808	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002239	rno-miR-132-3p	Rattus_norvegicus	Capn8	170808	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002240	rno-miR-101b-3p	Rattus_norvegicus	Capn8	170808	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002241	rno-miR-101a-3p	Rattus_norvegicus	Capn8	170808	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002242	rno-miR-34a-5p	Rattus_norvegicus	Capn8	170808	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002243	rno-miR-21-5p	Rattus_norvegicus	Capn8	170808	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002244	rno-miR-7a-5p	Rattus_norvegicus	Capn8	170808	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002245	rno-miR-494-3p	Rattus_norvegicus	Bmpr2	140590	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002246	rno-miR-290	Rattus_norvegicus	Arc	54323	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002247	rno-miR-100-5p	Rattus_norvegicus	Aqp4	25293	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002248	rno-miR-99b-5p	Rattus_norvegicus	Aqp4	25293	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002249	rno-miR-383-5p	Rattus_norvegicus	Aqp4	25293	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002250	rno-miR-99a-5p	Rattus_norvegicus	Aqp4	25293	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002251	rno-miR-223-3p	Rattus_norvegicus	Aqp4	25293	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002252	rno-miR-30a-3p	Rattus_norvegicus	Aqp4	25293	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002253	rno-miR-543-5p	Rattus_norvegicus	Akap6	64553	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002254	rno-miR-290	Rattus_norvegicus	Akap6	64553	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002255	rno-miR-26b-5p	Rattus_norvegicus	Akap6	64553	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002257	rno-miR-290	Rattus_norvegicus	Adora1	29290	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002258	rno-miR-150-5p	Rattus_norvegicus	Adora1	29290	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
